task,category,priority,due_date
Call car service,Study,Medium,2025-08-02
Attend report,Work,Low,2025-07-29
Fix exercise,Personal,High,2025-08-17
Complete presentation,Fitness,Medium,2025-05-22
Fix assignment,Fitness,Low,2025-06-09
Call proposal,Shopping,High,2025-07-06
Attend lecture notes,Work,Medium,2025-07-27
Prepare exercise,Shopping,High,2025-08-02
Buy report,Study,Low,2025-08-01
Schedule email,Finance,Medium,2025-07-19
Review invoice,Home,High,2025-08-10
Pay resume,Work,Low,2025-08-11
Schedule doctor appointment,Study,High,2025-07-24
Organize proposal,Finance,High,2025-08-02
Fix assignment,Finance,Medium,2025-07-23
Prepare car service,Work,High,2025-06-06
Buy report,Home,Medium,2025-07-07
Review meeting,Finance,Medium,2025-06-04
Organize presentation,Shopping,Low,2025-05-30
Attend invoice,Shopping,Medium,2025-07-12
Plan exercise,Personal,Medium,2025-08-10
Attend report,Study,Medium,2025-07-23
Clean resume,Shopping,Medium,2025-06-06
Complete presentation,Finance,Medium,2025-07-02
Attend invoice,Study,Medium,2025-08-01
Prepare car service,Work,Medium,2025-08-11
Write meeting,Fitness,Low,2025-07-17
Read exercise,Personal,Medium,2025-08-06
Complete email,Fitness,Low,2025-05-25
Attend presentation,Shopping,Medium,2025-05-21
Clean report,Study,High,2025-06-10
Send exam,Study,Low,2025-08-16
Read email,Health,High,2025-06-10
Clean exercise,Shopping,High,2025-05-30
Update assignment,Study,Low,2025-07-11
Read assignment,Finance,Medium,2025-08-10
Prepare presentation,Personal,Low,2025-08-12
Schedule lecture notes,Home,Low,2025-08-04
Organize budget,Fitness,High,2025-06-20
Call exam,Home,Low,2025-07-04
Send report,Finance,High,2025-07-30
Plan doctor appointment,Finance,Medium,2025-06-09
Attend exercise,Shopping,High,2025-07-28
Clean assignment,Finance,High,2025-06-05
Submit budget,Work,Low,2025-06-29
Complete proposal,Home,Low,2025-07-09
Complete invoice,Personal,Medium,2025-07-19
Attend exam,Shopping,Low,2025-06-20
Organize car service,Fitness,Medium,2025-06-13
Fix assignment,Shopping,High,2025-08-15
Submit meeting,Shopping,Low,2025-05-23
Write assignment,Home,Low,2025-06-19
Attend car service,Study,Low,2025-07-09
Send budget,Work,High,2025-06-12
Complete doctor appointment,Work,Low,2025-08-01
Call lecture notes,Fitness,Medium,2025-07-22
Call invoice,Health,Medium,2025-06-28
Write exam,Finance,Low,2025-07-29
Research lecture notes,Shopping,Low,2025-06-03
Write presentation,Work,High,2025-07-28
Review resume,Fitness,Low,2025-05-25
Clean meeting,Home,Low,2025-06-09
Schedule invoice,Finance,Medium,2025-06-28
Write presentation,Home,Low,2025-06-28
Read presentation,Fitness,Medium,2025-05-22
Submit car service,Personal,Low,2025-06-24
Organize exam,Health,Medium,2025-06-14
Read proposal,Work,Low,2025-07-04
Organize exam,Study,Low,2025-06-13
Submit report,Study,Medium,2025-07-03
Prepare doctor appointment,Fitness,Medium,2025-06-29
Call exam,Shopping,Medium,2025-05-30
Review assignment,Home,High,2025-06-16
Fix meeting,Personal,Low,2025-08-06
Send email,Work,Low,2025-05-26
Review resume,Personal,Medium,2025-06-24
Plan resume,Fitness,Medium,2025-07-14
Clean budget,Work,Medium,2025-08-15
Read email,Personal,Medium,2025-06-09
Research car service,Home,High,2025-05-25
Buy lecture notes,Health,Medium,2025-06-26
Fix car service,Health,Medium,2025-05-21
Read car service,Health,Low,2025-06-18
Attend presentation,Health,Medium,2025-07-19
Review lecture notes,Work,Low,2025-06-02
Update lecture notes,Fitness,High,2025-07-19
Complete presentation,Fitness,Medium,2025-07-23
Read report,Finance,High,2025-06-16
Schedule report,Work,Low,2025-06-13
Research assignment,Health,Low,2025-06-22
Write assignment,Health,Low,2025-06-18
Update report,Shopping,Low,2025-06-20
Plan exam,Home,Low,2025-07-10
Organize proposal,Finance,Low,2025-06-15
Submit lecture notes,Shopping,Low,2025-07-26
Clean exercise,Health,High,2025-05-24
Read assignment,Study,Medium,2025-07-01
Research presentation,Fitness,Medium,2025-06-15
Update proposal,Shopping,High,2025-06-13
Submit report,Health,Medium,2025-06-21
Schedule exam,Personal,High,2025-07-18
Pay assignment,Work,Medium,2025-05-22
Buy doctor appointment,Work,Low,2025-06-24
Send doctor appointment,Work,High,2025-06-15
Clean proposal,Home,Medium,2025-05-24
Update budget,Finance,High,2025-07-17
Plan exam,Work,High,2025-08-04
Attend budget,Study,High,2025-07-10
Attend resume,Fitness,Medium,2025-06-15
Buy presentation,Study,High,2025-07-20
Fix proposal,Fitness,Medium,2025-07-20
Buy resume,Health,Medium,2025-06-20
Read budget,Fitness,Medium,2025-06-22
Schedule resume,Health,Low,2025-06-16
Send budget,Personal,Medium,2025-06-17
Schedule proposal,Personal,High,2025-06-07
Read email,Home,Medium,2025-06-26
Clean report,Shopping,High,2025-08-17
Schedule presentation,Fitness,Medium,2025-06-08
Plan doctor appointment,Finance,Low,2025-05-25
Prepare budget,Shopping,High,2025-07-23
Plan presentation,Home,High,2025-07-03
Call report,Personal,Medium,2025-07-18
Write car service,Fitness,Medium,2025-06-02
Pay assignment,Fitness,High,2025-07-28
Buy report,Study,High,2025-07-01
Attend proposal,Shopping,Medium,2025-08-11
Schedule proposal,Finance,Low,2025-07-13
Send invoice,Work,Low,2025-07-28
Prepare presentation,Fitness,Low,2025-07-04
Buy meeting,Finance,Low,2025-08-07
Prepare budget,Home,Medium,2025-06-25
Complete doctor appointment,Work,High,2025-06-22
Complete exam,Personal,High,2025-06-21
Review exercise,Health,Low,2025-05-29
Organize invoice,Shopping,Low,2025-06-28
Prepare budget,Work,High,2025-07-06
Read budget,Study,Low,2025-08-17
Schedule car service,Home,Medium,2025-08-13
Submit resume,Health,High,2025-05-23
Research doctor appointment,Health,Medium,2025-08-01
Prepare lecture notes,Personal,High,2025-07-15
Buy invoice,Study,Medium,2025-08-17
Pay presentation,Fitness,Medium,2025-06-15
Write meeting,Fitness,High,2025-08-05
Update assignment,Study,High,2025-06-18
Attend assignment,Study,High,2025-06-04
Submit exam,Study,High,2025-07-30
Send doctor appointment,Shopping,Low,2025-07-06
Send lecture notes,Study,Medium,2025-07-04
Read presentation,Health,High,2025-07-02
Read email,Fitness,Medium,2025-06-11
Attend invoice,Work,High,2025-07-15
Send exam,Finance,Low,2025-05-20
Pay assignment,Home,Medium,2025-08-12
Pay assignment,Home,Medium,2025-06-02
Pay assignment,Finance,High,2025-06-15
Complete email,Work,Low,2025-06-28
Schedule assignment,Study,Medium,2025-05-26
Send presentation,Fitness,Medium,2025-05-30
Pay lecture notes,Finance,Low,2025-07-26
Organize car service,Shopping,Low,2025-06-24
Prepare assignment,Shopping,Low,2025-06-05
Fix exam,Shopping,High,2025-08-17
Send lecture notes,Home,Low,2025-05-24
Read report,Finance,High,2025-05-22
Write email,Work,Low,2025-06-21
Write proposal,Home,High,2025-05-24
Research exercise,Finance,Low,2025-07-28
Schedule lecture notes,Work,Low,2025-07-21
Buy budget,Fitness,High,2025-08-12
Complete email,Home,High,2025-06-29
Submit proposal,Shopping,Low,2025-06-15
Clean exercise,Home,Medium,2025-07-27
Buy car service,Health,Low,2025-06-24
Review exercise,Health,High,2025-08-12
Submit presentation,Finance,Medium,2025-07-12
Fix proposal,Finance,Low,2025-06-19
Prepare assignment,Finance,High,2025-08-12
Fix lecture notes,Study,Low,2025-08-17
Buy exam,Shopping,High,2025-07-29
Clean presentation,Fitness,High,2025-05-28
Organize resume,Study,Low,2025-07-11
Clean presentation,Health,Low,2025-06-26
Call presentation,Fitness,High,2025-07-21
Write report,Finance,Medium,2025-05-22
Research budget,Health,Low,2025-08-03
Research resume,Health,High,2025-07-04
Pay report,Work,High,2025-05-20
Plan lecture notes,Fitness,Medium,2025-06-17
Prepare resume,Personal,High,2025-07-18
Submit email,Fitness,High,2025-06-22
Write lecture notes,Home,High,2025-07-09
Update email,Finance,High,2025-07-27
Write budget,Fitness,Medium,2025-06-03
Attend exam,Home,Medium,2025-07-27
Prepare invoice,Home,Medium,2025-06-15
Update email,Health,High,2025-05-21
Send email,Shopping,High,2025-07-05
Write email,Work,Medium,2025-06-15
Submit lecture notes,Work,Medium,2025-06-02
Update report,Study,High,2025-08-13
Update car service,Personal,Medium,2025-08-15
Complete proposal,Shopping,Medium,2025-07-07
Complete meeting,Work,Medium,2025-08-12
Pay exercise,Personal,Low,2025-06-12
Plan email,Work,Low,2025-07-13
Organize invoice,Study,High,2025-06-19
Research exam,Finance,Medium,2025-07-10
Fix doctor appointment,Study,High,2025-05-28
Submit presentation,Work,High,2025-06-25
Submit exercise,Finance,High,2025-06-29
Clean report,Study,Medium,2025-08-07
Complete email,Fitness,Low,2025-07-25
Clean lecture notes,Personal,Low,2025-06-11
Call doctor appointment,Shopping,High,2025-06-23
Attend proposal,Study,Medium,2025-07-13
Update exam,Home,Medium,2025-07-21
Write resume,Shopping,High,2025-05-26
Clean exam,Finance,Low,2025-07-15
Send assignment,Finance,High,2025-07-24
Review invoice,Home,High,2025-05-23
Pay assignment,Fitness,Low,2025-08-14
Buy email,Shopping,High,2025-06-20
Clean exam,Shopping,High,2025-06-03
Review presentation,Health,Low,2025-06-18
Prepare resume,Work,High,2025-06-24
Prepare lecture notes,Finance,Medium,2025-08-03
Update invoice,Fitness,Low,2025-08-14
Send email,Health,Medium,2025-08-11
Prepare presentation,Health,Medium,2025-06-27
Read lecture notes,Finance,High,2025-05-26
Buy report,Home,High,2025-07-13
Submit budget,Fitness,Low,2025-06-14
Submit exercise,Finance,Medium,2025-05-28
Fix report,Shopping,Medium,2025-08-15
Call invoice,Home,Low,2025-07-06
Research presentation,Finance,Low,2025-06-13
Complete meeting,Health,Medium,2025-05-22
Read assignment,Study,Medium,2025-05-21
Research exercise,Health,High,2025-08-02
Buy budget,Shopping,Low,2025-06-17
Plan meeting,Health,Medium,2025-05-22
Call proposal,Home,High,2025-06-09
Review proposal,Finance,Low,2025-08-13
Prepare doctor appointment,Fitness,Low,2025-07-25
Clean email,Personal,High,2025-06-12
Call exam,Study,Low,2025-07-25
Pay assignment,Fitness,Low,2025-07-14
Complete meeting,Finance,Medium,2025-06-23
Pay email,Personal,Medium,2025-05-31
Complete assignment,Home,Low,2025-06-30
Complete car service,Work,Medium,2025-08-08
Write exercise,Health,High,2025-05-23
Write resume,Shopping,High,2025-07-10
Complete assignment,Health,High,2025-06-24
Complete presentation,Study,High,2025-05-26
Schedule proposal,Study,Medium,2025-06-06
Buy doctor appointment,Finance,Low,2025-06-11
Complete email,Home,Medium,2025-06-14
Plan proposal,Study,High,2025-08-02
Complete car service,Finance,Medium,2025-06-03
Organize report,Fitness,Low,2025-05-30
Call exercise,Personal,Low,2025-08-07
Clean resume,Finance,High,2025-07-12
Send email,Home,Medium,2025-07-11
Review doctor appointment,Fitness,Low,2025-06-27
Plan presentation,Study,Medium,2025-06-14
Submit lecture notes,Fitness,Low,2025-07-31
Prepare resume,Shopping,Low,2025-08-15
Organize invoice,Finance,High,2025-06-28
Organize email,Shopping,Medium,2025-05-27
Review invoice,Fitness,Medium,2025-07-26
Send budget,Shopping,Medium,2025-07-05
Send resume,Health,Medium,2025-07-04
Clean exercise,Health,Medium,2025-07-17
Update car service,Work,Low,2025-07-18
Plan assignment,Shopping,High,2025-08-09
Send meeting,Study,Low,2025-06-08
Send meeting,Fitness,Low,2025-07-03
Submit exercise,Home,Low,2025-06-01
Submit doctor appointment,Work,Medium,2025-06-23
Research meeting,Shopping,High,2025-07-07
Complete lecture notes,Work,High,2025-06-02
Clean resume,Shopping,Low,2025-07-21
Send proposal,Finance,High,2025-06-25
Complete assignment,Study,Medium,2025-08-05
Fix car service,Fitness,Low,2025-05-31
Attend assignment,Health,Low,2025-08-13
Pay car service,Finance,Low,2025-08-17
Update exercise,Personal,Medium,2025-06-19
Prepare lecture notes,Study,Medium,2025-06-24
Complete resume,Shopping,Medium,2025-06-30
Call proposal,Shopping,Low,2025-07-30
Send meeting,Study,High,2025-08-09
Research exam,Work,Medium,2025-05-24
Read lecture notes,Study,High,2025-06-06
Fix presentation,Health,Medium,2025-07-21
Research budget,Study,High,2025-06-03
Research resume,Shopping,Medium,2025-07-22
Call meeting,Personal,High,2025-07-12
Attend invoice,Personal,Medium,2025-06-01
Clean report,Health,Low,2025-06-17
Call exam,Finance,High,2025-07-15
Send email,Work,Low,2025-07-26
Update email,Health,Medium,2025-06-07
Call resume,Work,High,2025-08-13
Plan email,Fitness,Low,2025-06-22
Schedule report,Fitness,Medium,2025-05-27
Attend car service,Home,Medium,2025-07-01
Attend exercise,Health,Low,2025-07-11
Organize doctor appointment,Study,Medium,2025-07-19
Organize proposal,Home,Low,2025-05-26
Schedule car service,Fitness,Medium,2025-07-30
Schedule exercise,Finance,Low,2025-06-24
Review lecture notes,Fitness,High,2025-07-30
Schedule assignment,Work,Low,2025-08-04
Attend proposal,Health,High,2025-06-01
Prepare report,Home,Low,2025-07-27
Buy lecture notes,Personal,Medium,2025-05-28
Pay budget,Fitness,High,2025-07-25
Send invoice,Shopping,High,2025-05-25
Organize lecture notes,Home,Low,2025-07-19
Review doctor appointment,Finance,Medium,2025-08-08
Call proposal,Finance,High,2025-08-01
Attend doctor appointment,Study,Medium,2025-07-05
Call assignment,Personal,Medium,2025-07-12
Read email,Personal,Low,2025-06-13
Write email,Study,High,2025-07-21
Schedule budget,Shopping,High,2025-07-25
Call invoice,Home,Low,2025-07-23
Buy doctor appointment,Health,Medium,2025-05-26
Plan email,Finance,Low,2025-06-08
Write resume,Shopping,Low,2025-07-16
Plan lecture notes,Shopping,High,2025-07-10
Write resume,Study,High,2025-06-20
Read lecture notes,Personal,High,2025-05-26
Organize report,Work,Low,2025-07-10
Research lecture notes,Shopping,High,2025-05-26
Prepare proposal,Fitness,Medium,2025-08-16
Attend lecture notes,Personal,High,2025-06-17
Read proposal,Home,Medium,2025-06-03
Complete lecture notes,Personal,High,2025-06-02
Fix doctor appointment,Finance,Medium,2025-05-26
Review invoice,Work,Medium,2025-08-16
Organize meeting,Personal,High,2025-07-22
Prepare presentation,Study,Low,2025-07-22
Complete car service,Home,Medium,2025-06-07
Read car service,Finance,Medium,2025-05-21
Read proposal,Health,Medium,2025-06-02
Update doctor appointment,Health,Medium,2025-07-29
Attend report,Finance,Low,2025-06-04
Submit meeting,Health,Medium,2025-05-26
Call invoice,Shopping,Low,2025-06-22
Review assignment,Work,Low,2025-05-28
Organize invoice,Home,Low,2025-05-30
Send invoice,Personal,High,2025-06-09
Call doctor appointment,Fitness,High,2025-08-05
Research assignment,Personal,Low,2025-07-23
Organize budget,Home,Low,2025-06-23
Clean presentation,Health,High,2025-08-07
Organize report,Shopping,Low,2025-06-13
Call assignment,Work,Low,2025-06-23
Complete proposal,Study,High,2025-06-08
Read presentation,Work,High,2025-05-25
Send budget,Fitness,Low,2025-08-02
Organize budget,Personal,Medium,2025-08-04
Prepare exercise,Health,Medium,2025-07-06
Submit email,Health,High,2025-08-03
Update budget,Health,Medium,2025-06-22
Prepare invoice,Health,Low,2025-07-27
Organize exercise,Home,Medium,2025-06-02
Schedule car service,Shopping,Low,2025-06-20
Write email,Work,High,2025-08-04
Attend presentation,Work,High,2025-07-07
Buy budget,Work,Medium,2025-07-10
Call exam,Health,High,2025-07-14
Fix lecture notes,Shopping,High,2025-07-06
Complete doctor appointment,Study,Low,2025-08-14
Plan car service,Study,Medium,2025-08-16
Update exam,Personal,Medium,2025-06-18
Submit report,Finance,High,2025-06-19
Research exercise,Finance,High,2025-07-03
Call assignment,Fitness,Medium,2025-07-01
Prepare resume,Shopping,Medium,2025-07-20
Pay exercise,Shopping,Medium,2025-05-23
Prepare presentation,Fitness,High,2025-06-30
Fix invoice,Fitness,Medium,2025-07-02
Schedule report,Home,Low,2025-07-21
Review meeting,Fitness,High,2025-07-25
Clean presentation,Personal,Medium,2025-08-05
Plan presentation,Health,Medium,2025-05-28
Attend assignment,Personal,Medium,2025-06-09
Complete invoice,Study,High,2025-06-29
Write invoice,Study,Low,2025-07-16
Update proposal,Personal,Low,2025-08-05
Buy report,Personal,High,2025-06-25
Buy doctor appointment,Study,High,2025-05-28
Review exercise,Personal,Low,2025-05-31
Review meeting,Fitness,Medium,2025-08-06
Write invoice,Health,Low,2025-07-25
Write budget,Home,Low,2025-06-24
Review exercise,Finance,Low,2025-06-04
Read lecture notes,Work,High,2025-07-24
Read lecture notes,Fitness,Low,2025-06-09
Clean assignment,Health,Low,2025-07-07
Fix presentation,Home,Low,2025-05-27
Submit exam,Health,Low,2025-06-01
Submit presentation,Shopping,Low,2025-05-25
Call lecture notes,Home,Medium,2025-05-30
Prepare presentation,Work,Medium,2025-07-14
Research proposal,Fitness,Medium,2025-07-30
Complete report,Work,Low,2025-05-20
Plan report,Work,Medium,2025-06-09
Buy proposal,Health,Medium,2025-05-24
Organize proposal,Fitness,High,2025-07-25
Complete email,Shopping,High,2025-06-28
Clean report,Personal,Low,2025-07-08
Write meeting,Home,High,2025-05-21
Fix meeting,Work,Low,2025-07-14
Review meeting,Home,Medium,2025-08-09
Call doctor appointment,Shopping,Low,2025-07-27
Submit email,Fitness,High,2025-07-04
Call proposal,Finance,Medium,2025-05-23
Update budget,Work,High,2025-07-13
Call car service,Shopping,Medium,2025-06-16
Plan presentation,Personal,Medium,2025-05-29
Research report,Shopping,Medium,2025-07-08
Review exercise,Home,Medium,2025-07-29
Schedule exercise,Fitness,Low,2025-07-17
Send email,Work,Medium,2025-06-14
Prepare presentation,Health,Medium,2025-06-04
Pay exercise,Personal,Low,2025-07-06
Review resume,Fitness,Low,2025-07-21
Complete assignment,Health,High,2025-06-22
Research assignment,Finance,Low,2025-06-10
Schedule assignment,Home,Medium,2025-08-16
Research presentation,Finance,Medium,2025-08-04
Write exam,Personal,High,2025-05-25
Research car service,Home,High,2025-07-20
Read doctor appointment,Fitness,Medium,2025-05-22
Prepare resume,Health,High,2025-06-06
Schedule report,Personal,Medium,2025-07-10
Pay budget,Shopping,Medium,2025-08-03
Send exam,Home,Medium,2025-08-03
Submit assignment,Work,Low,2025-08-03
Submit exam,Personal,High,2025-08-07
Write proposal,Home,Medium,2025-08-03
Buy lecture notes,Health,High,2025-07-16
Clean exercise,Personal,Medium,2025-08-06
Plan exam,Personal,Low,2025-06-18
Complete email,Finance,Low,2025-08-09
Review doctor appointment,Home,Medium,2025-06-19
Attend presentation,Work,Low,2025-07-07
Schedule invoice,Health,High,2025-07-29
Read lecture notes,Home,Medium,2025-05-22
Clean budget,Work,Medium,2025-07-22
Fix assignment,Personal,High,2025-05-21
Pay invoice,Personal,High,2025-07-06
Buy lecture notes,Health,Medium,2025-07-05
Clean presentation,Personal,Medium,2025-08-11
Review resume,Fitness,Medium,2025-06-08
Organize email,Personal,High,2025-05-21
Plan doctor appointment,Health,Low,2025-05-31
Submit budget,Study,Low,2025-08-09
Submit assignment,Fitness,Medium,2025-06-19
Research exercise,Study,Medium,2025-06-19
Submit resume,Personal,High,2025-08-06
Plan proposal,Fitness,Medium,2025-07-27
Attend proposal,Shopping,Low,2025-07-29
Submit proposal,Fitness,Low,2025-06-26
Organize presentation,Health,Medium,2025-06-30
Fix lecture notes,Fitness,High,2025-07-18
Fix proposal,Fitness,High,2025-06-23
Call doctor appointment,Home,Low,2025-07-31
Write doctor appointment,Work,Medium,2025-08-09
Update invoice,Personal,Medium,2025-07-18
Buy lecture notes,Finance,High,2025-05-23
Write exercise,Personal,Low,2025-06-24
Write exercise,Study,Medium,2025-06-16
Read exam,Fitness,High,2025-07-21
Research invoice,Work,High,2025-06-23
Submit invoice,Study,Low,2025-05-21
Complete resume,Finance,Medium,2025-08-06
Plan doctor appointment,Shopping,Medium,2025-06-04
Clean presentation,Home,Low,2025-08-01
Buy meeting,Home,Medium,2025-07-06
Pay report,Fitness,Medium,2025-07-26
Research report,Work,Low,2025-05-26
Submit doctor appointment,Home,Medium,2025-08-13
Review doctor appointment,Finance,Low,2025-08-10
Attend lecture notes,Shopping,High,2025-07-03
Organize presentation,Home,Medium,2025-08-15
Prepare exam,Work,High,2025-06-18
Buy lecture notes,Shopping,Low,2025-07-21
Attend email,Home,Medium,2025-08-15
Review proposal,Study,Medium,2025-06-10
Read lecture notes,Fitness,High,2025-06-25
Send report,Home,High,2025-08-11
Review presentation,Finance,Medium,2025-07-06
Read presentation,Study,Low,2025-07-24
Plan proposal,Shopping,Low,2025-07-29
Pay presentation,Personal,Medium,2025-06-05
Send car service,Health,Low,2025-06-03
Fix email,Health,Medium,2025-06-09
Research exam,Personal,Medium,2025-07-22
Schedule doctor appointment,Home,Low,2025-08-06
Buy report,Fitness,High,2025-06-28
Complete report,Shopping,Medium,2025-06-02
Pay exam,Health,High,2025-08-10
Research resume,Study,Low,2025-06-10
Buy car service,Fitness,High,2025-06-25
Attend invoice,Study,Low,2025-07-30
Organize car service,Study,Medium,2025-07-15
Prepare invoice,Fitness,High,2025-08-15
Read exam,Health,Medium,2025-06-24
Fix report,Finance,High,2025-07-16
Complete presentation,Study,Medium,2025-08-01
Organize doctor appointment,Study,Medium,2025-08-05
Pay proposal,Work,Medium,2025-08-12
Plan exam,Personal,High,2025-07-26
Submit invoice,Personal,Low,2025-08-06
Plan car service,Work,Medium,2025-07-12
Update car service,Fitness,Low,2025-07-10
Send proposal,Personal,High,2025-07-04
Read meeting,Finance,Medium,2025-07-31
Clean exam,Fitness,Low,2025-08-18
Prepare proposal,Fitness,Medium,2025-07-11
Complete car service,Finance,High,2025-08-02
Read doctor appointment,Study,High,2025-07-22
Review resume,Fitness,High,2025-06-20
Read car service,Work,High,2025-06-23
Update exercise,Fitness,High,2025-07-15
Schedule resume,Work,Low,2025-06-22
Plan invoice,Finance,High,2025-06-17
Prepare doctor appointment,Home,Low,2025-08-01
Submit meeting,Work,High,2025-07-14
Write exercise,Study,High,2025-08-14
Call invoice,Study,Low,2025-07-15
Organize assignment,Work,High,2025-06-11
Schedule assignment,Study,High,2025-06-11
Schedule invoice,Personal,Low,2025-06-01
Review doctor appointment,Personal,Medium,2025-06-26
Prepare doctor appointment,Home,Medium,2025-08-11
Write report,Shopping,Low,2025-07-18
Review car service,Finance,Low,2025-07-23
Attend exercise,Study,Medium,2025-06-26
Complete exercise,Personal,Low,2025-06-25
Read email,Fitness,Low,2025-07-27
Plan doctor appointment,Work,High,2025-07-23
Attend report,Shopping,High,2025-08-10
Plan lecture notes,Work,Low,2025-07-18
Write lecture notes,Finance,Low,2025-06-23
Fix assignment,Fitness,Low,2025-07-29
Read lecture notes,Health,Low,2025-06-22
Clean doctor appointment,Fitness,Low,2025-06-28
Review car service,Personal,High,2025-05-21
Call assignment,Work,Medium,2025-07-26
Pay assignment,Fitness,Low,2025-08-15
Submit doctor appointment,Shopping,High,2025-07-28
Attend lecture notes,Fitness,Medium,2025-05-30
Pay assignment,Finance,Low,2025-07-17
Call exam,Health,Medium,2025-05-27
Research lecture notes,Health,Low,2025-07-25
Update presentation,Finance,Medium,2025-06-10
Call email,Home,Medium,2025-07-17
Update email,Finance,Medium,2025-07-04
Clean invoice,Finance,Low,2025-08-11
Clean meeting,Health,Medium,2025-07-25
Fix lecture notes,Shopping,Low,2025-07-26
Update assignment,Fitness,Low,2025-06-19
Complete assignment,Personal,Medium,2025-08-12
Fix proposal,Shopping,Low,2025-07-16
Fix invoice,Fitness,Medium,2025-05-25
Research doctor appointment,Finance,Medium,2025-06-10
Review resume,Work,Medium,2025-07-13
Attend budget,Shopping,Low,2025-06-19
Submit assignment,Fitness,Low,2025-07-18
Prepare car service,Health,Low,2025-06-01
Plan proposal,Health,Low,2025-06-19
Plan resume,Health,High,2025-07-14
Submit doctor appointment,Work,Medium,2025-07-17
Update car service,Personal,High,2025-06-20
Plan email,Finance,High,2025-08-10
Read assignment,Shopping,Medium,2025-07-26
Write car service,Fitness,Low,2025-06-20
Fix presentation,Home,Low,2025-06-02
Attend proposal,Study,High,2025-07-02
Plan assignment,Personal,Low,2025-08-08
Prepare meeting,Personal,Medium,2025-07-08
Research report,Health,High,2025-08-01
Update budget,Home,Medium,2025-08-03
Clean doctor appointment,Personal,Low,2025-08-15
Plan exam,Shopping,Low,2025-06-26
Attend exam,Finance,Medium,2025-05-25
Submit resume,Shopping,Low,2025-06-18
Review meeting,Health,Medium,2025-07-05
Write meeting,Work,High,2025-05-24
Plan lecture notes,Health,High,2025-05-24
Research email,Work,Low,2025-07-24
Complete meeting,Personal,Low,2025-05-31
Read exam,Home,Medium,2025-05-20
Update report,Home,Low,2025-06-10
Research report,Study,High,2025-07-20
Fix resume,Study,Medium,2025-07-11
Call email,Work,High,2025-07-21
Read email,Study,High,2025-07-04
Fix doctor appointment,Personal,High,2025-07-23
Research report,Home,Medium,2025-08-16
Update email,Work,Low,2025-07-18
Send resume,Finance,High,2025-06-12
Plan assignment,Study,Medium,2025-05-20
Research budget,Health,High,2025-06-02
Attend email,Work,Medium,2025-07-23
Organize doctor appointment,Personal,Medium,2025-05-29
Fix invoice,Shopping,High,2025-08-01
Plan email,Study,Medium,2025-06-24
Buy assignment,Health,High,2025-05-23
Clean lecture notes,Shopping,High,2025-06-07
Pay budget,Study,Low,2025-07-17
Review budget,Study,Medium,2025-07-26
Organize lecture notes,Fitness,Low,2025-07-13
Review car service,Home,High,2025-07-08
Prepare exam,Work,High,2025-05-26
Clean invoice,Finance,Medium,2025-07-08
Review report,Home,High,2025-06-16
Plan proposal,Work,High,2025-07-01
Attend car service,Health,Low,2025-08-06
Complete meeting,Health,Low,2025-07-20
Read budget,Finance,Low,2025-05-25
Prepare presentation,Work,High,2025-05-26
Review presentation,Fitness,Medium,2025-05-28
Prepare budget,Finance,Low,2025-08-06
Submit budget,Shopping,High,2025-07-24
Submit lecture notes,Personal,Low,2025-08-10
Clean proposal,Work,Low,2025-06-29
Plan budget,Fitness,High,2025-07-03
Fix exam,Personal,High,2025-07-12
Fix email,Shopping,High,2025-05-30
Organize doctor appointment,Fitness,Low,2025-07-16
Complete proposal,Work,High,2025-08-03
Schedule invoice,Study,Low,2025-08-09
Clean exercise,Study,High,2025-06-14
Pay lecture notes,Shopping,High,2025-06-23
Prepare resume,Health,Medium,2025-06-30
Complete invoice,Finance,Low,2025-08-02
Read exercise,Fitness,Medium,2025-07-22
Prepare assignment,Study,High,2025-06-23
Read exercise,Fitness,High,2025-05-27
Write email,Finance,High,2025-05-30
Organize budget,Fitness,Low,2025-06-04
Submit meeting,Health,Medium,2025-06-29
Attend lecture notes,Work,Low,2025-08-04
Schedule car service,Personal,Low,2025-06-21
Update exam,Finance,Low,2025-07-19
Attend assignment,Personal,High,2025-07-10
Send exercise,Shopping,Medium,2025-08-07
Research exercise,Personal,High,2025-07-18
Attend exam,Personal,Low,2025-07-14
Write proposal,Fitness,High,2025-08-04
Attend report,Study,Low,2025-08-09
Research budget,Work,High,2025-08-01
Clean doctor appointment,Health,Low,2025-06-20
Buy meeting,Personal,Low,2025-08-04
Write presentation,Study,Low,2025-08-04
Research exercise,Health,Medium,2025-05-26
Write resume,Home,High,2025-07-20
Schedule proposal,Study,Low,2025-07-09
Update resume,Finance,High,2025-06-08
Read invoice,Personal,Low,2025-06-18
Schedule meeting,Study,Low,2025-06-07
Complete exercise,Study,High,2025-06-26
Research assignment,Finance,Medium,2025-08-16
Pay resume,Finance,Low,2025-07-31
Review assignment,Study,High,2025-07-01
Schedule assignment,Health,High,2025-07-15
Organize car service,Health,High,2025-07-11
Submit doctor appointment,Shopping,Medium,2025-06-30
Schedule exercise,Finance,Medium,2025-06-26
Write lecture notes,Finance,Medium,2025-07-14
Submit presentation,Shopping,Medium,2025-06-17
Send email,Personal,Low,2025-07-21
Schedule resume,Shopping,Medium,2025-08-17
Complete assignment,Study,Medium,2025-05-23
Organize invoice,Personal,Low,2025-08-04
Schedule report,Work,Low,2025-06-12
